Details1,Details2,Details3,Details4,Details5,Details6,Stetus
830,2320,28182,27464,58452,50115.16667,0
882,2439,30098,29142,64368,53842.66667,0
996,2665,40202,31261,83775,63009.33333,1
1185,2527,59857,34946,104877,75718.33333,1
1324,2902,64754,36890,115400,78291.16667,1
1444,2875,81149,39145,125674,86293.5,2
1823,3225,97682,42318,127658,91068.33333,2
2026,4199,86391,45926,105081,80584.83333,2
2040,4852,80795,47781,112328,82340.33333,2
1919,5240,86814,51454,104095,86891,2
1996,5099,93499,54593,116274,95576.16667,2
1969,4663,95718,54638,133504,101568.5,2
1919,5272,84703,57193,133669,98748.5,2
1820,5168,83785,58484,119264,93579.5,2
2092,5394,93471,60949,124343,99091.83333,2
2228,5405,112273,60329,133041,112366.8333,2
2166,5479,120344,60189,136849,112574.8333,2
2013,5159,107843,59818,137880,101326.3333,2
1958,5296,94783,59452,127861,89744.16667,2
1786,5599,89900,64872,115392,83417.5,2
1683,5706,89706,68270,106537,81922.5,2
1907,5415,91360,76528,113247,84244.5,2
2016,5537,89721,82417,125329,86974.33333,2
2244,5479,97434,91239,153898,94725.66667,2
2246,5242,103983,91571,171007,97529.83333,2
2605,5368,112380,92105,187591,101477,2
2571,5085,112342,90186,181287,99328.33333,2
2397,5152,108154,87608,168922,94296.83333,2
2420,5008,102122,85802,151949,88168.33333,2
2016,4700,86617,82100,128873,78159.33333,2
1550,4290,72492,74351,102596,66973.5,1
1353,4174,61822,64857,89900,58655.66667,0
1093,4075,56094,63628,79697,53815.5,0
924,3843,49125,62023,68171,48151.16667,0
903,3563,43821,58860,58261,43104.16667,0
952,3530,40539,60090,54231,41214.66667,0
960,3546,36555,56961,48287,37784.83333,0
909,3885,36653,53583,47366,36516,0
934,3775,35790,48987,45204,35023.83333,0
889,3608,33506,46911,41002,32768.66667,0
874,3636,35179,46150,35736,31601.5,0
921,3169,34489,45387,32134,30777.5,0
801,2926,31094,45094,28030,28800.33333,0
836,2799,31789,42122,25096,28029.83333,0
781,2582,28141,43606,21871,26625,0
868,2797,28630,44197,20639,27161.66667,0
774,2752,28396,45568,19311,27033,0
